Date,Open,High,Low,Close,Adj Close,Volume
2014-09-23,100.599998,102.940002,97.720001,100.110001,93.974243,335802800
2014-09-30,100.809998,101.540001,98.040001,99.620003,93.514290,235034000
2014-10-07,99.430000,102.379997,98.309998,99.809998,93.692642,296790400
2014-10-14,100.389999,100.519997,95.180000,99.760002,93.645706,382473700
2014-10-21,103.019997,105.489998,101.269997,105.110001,98.667793,315203300
2014-10-28,105.400002,110.300003,105.349998,109.400002,102.694862,238325500
2014-11-04,109.360001,109.489998,107.720001,108.830002,102.159790,174865800
2014-11-11,108.699997,117.279999,108.400002,113.989998,107.467529,224717900
2014-11-18,113.940002,118.769997,113.800003,118.629997,111.842033,234118800
2014-11-25,119.070000,119.750000,111.269997,115.070000,108.485718,218237100
2014-12-02,113.500000,117.199997,111.620003,112.400002,105.968513,240440600
2014-12-09,110.190002,114.849998,106.349998,108.230003,102.037125,269421200
2014-12-16,106.370003,113.489998,106.260002,112.940002,106.477608,306806000
2014-12-23,113.230003,114.769997,112.010002,113.910004,107.392113,101827900
2014-12-30,113.639999,113.919998,105.410004,106.250000,100.170410,188775000
2015-01-06,106.540001,113.250000,104.629997,109.250000,102.998756,268617800
2015-01-13,111.430000,112.800003,105.199997,105.989998,99.925285,253956200
2015-01-20,107.839996,114.360001,106.500000,113.099998,106.628456,254352000
2015-01-27,112.419998,120.000000,109.029999,118.629997,111.842033,472966800
2015-02-03,118.500000,120.510002,117.610001,119.720001,112.869659,246908000
2015-02-10,120.169998,127.480003,120.160004,127.080002,120.281372,264317000
2015-02-17,127.489998,133.000000,126.919998,133.000000,125.884651,265329000
2015-02-24,132.940002,133.600006,126.610001,129.089996,122.183830,345338800
2015-03-03,128.960007,129.570007,125.059998,127.139999,120.338158,287370300
2015-03-10,126.410004,127.220001,121.629997,124.949997,118.265312,273859900
2015-03-17,125.900002,129.250000,125.160004,127.209999,120.404411,268508300
2015-03-24,127.230003,128.039993,122.599998,126.370003,119.609360,218716300
2015-03-31,126.089996,127.510002,123.099998,127.349998,120.536911,152126100
2015-04-07,127.639999,128.570007,124.660004,126.849998,120.063675,181378600
2015-04-14,127.000000,128.119995,124.459999,127.599998,120.773544,181875300
2015-04-21,128.100006,133.130005,126.320000,132.649994,125.553375,257340600
2015-04-28,134.460007,134.539993,124.580002,128.699997,121.814705,375006400
2015-05-05,128.149994,128.449997,123.360001,126.320000,119.562019,262939500
2015-05-12,125.599998,130.720001,124.820000,130.190002,123.739723,217148600
2015-05-19,130.690002,132.970001,129.339996,132.539993,125.973259,166414500
2015-05-26,132.600006,132.910004,129.119995,130.539993,124.072357,230261400
2015-06-02,129.860001,130.940002,126.830002,127.800003,121.468117,191308700
2015-06-09,126.699997,130.179993,125.620003,126.919998,120.631721,211428700
2015-06-16,127.029999,128.309998,126.370003,127.610001,121.287529,188575600
2015-06-23,127.480003,129.800003,124.480003,124.529999,118.360123,210716100
2015-06-30,125.570000,126.940002,124.849998,126.000000,119.757301,129880900
2015-07-07,125.889999,126.150002,119.220001,125.660004,119.434151,288325000
2015-07-14,126.040001,132.970001,125.040001,132.070007,125.526581,206704600
2015-07-21,132.850006,132.919998,121.989998,122.769997,116.687325,329824300
2015-07-28,123.379997,123.910004,117.519997,118.440002,112.571854,217119100
2015-08-04,117.419998,119.989998,112.099998,119.720001,113.788445,369976200
2015-08-11,117.809998,118.180000,109.629997,117.160004,111.859337,330650300
2015-08-18,116.430000,117.440002,92.000000,103.120003,98.454544,440989800
2015-08-25,111.110001,114.529999,103.500000,112.760002,107.658401,394386000
2015-09-01,110.150002,112.779999,107.360001,109.269997,104.326286,241964900
2015-09-08,111.750000,116.889999,109.769997,115.309998,110.093018,311026100
2015-09-15,115.930000,116.540001,111.870003,115.209999,109.997543,269134600
2015-09-22,113.379997,116.690002,112.370003,112.440002,107.352875,244583300
2015-09-29,112.830002,113.510002,107.309998,110.779999,105.767975,313852000
2015-10-06,110.629997,112.750000,108.209999,111.599998,106.550873,240175300
2015-10-13,110.820000,112.449997,109.559998,111.730003,106.674980,184177000
2015-10-20,111.339996,119.230003,110.820000,115.279999,110.064392,257928800
2015-10-27,115.400002,121.360001,113.989998,121.180000,115.697449,288231700
2015-11-03,120.790001,123.820000,120.050003,120.570000,115.115036,196871500
2015-11-10,116.900002,118.070000,111.000000,114.180000,109.480789,220790600
2015-11-17,114.919998,119.919998,113.320000,117.750000,112.903854,184357000
2015-11-24,117.330002,119.410004,117.120003,118.300003,113.431221,116418200
2015-12-01,118.750000,119.860001,114.220001,118.279999,113.412041,199669700
2015-12-08,117.519997,118.599998,109.790001,112.480003,107.850761,220980000
2015-12-15,111.940002,112.800003,105.570000,107.330002,102.912712,298378300
2015-12-22,107.400002,109.000000,106.180000,106.820000,102.423698,105721400
2015-12-29,106.959999,109.430000,102.000000,105.349998,101.014183,164429700
2016-01-05,105.750000,105.849998,96.430000,98.529999,94.474876,325880200
2016-01-12,100.550003,101.190002,95.360001,97.129997,93.132492,253773900
2016-01-19,98.410004,101.529999,93.419998,99.440002,95.347420,295178600
2016-01-26,99.930000,100.879997,92.389999,96.430000,92.461311,369485500
2016-02-02,95.419998,97.330002,93.040001,95.010002,91.099747,230232700
2016-02-09,94.290001,96.349998,92.589996,93.989998,90.610756,177100900
2016-02-16,95.019997,98.889999,94.610001,96.879997,93.396843,202597100
2016-02-23,96.400002,98.230003,93.320000,96.690002,93.213684,159988400
2016-03-01,97.650002,103.750000,97.419998,101.870003,98.207428,202416400
2016-03-08,100.779999,102.910004,100.150002,102.519997,98.834068,144761500
2016-03-15,103.959999,107.650002,103.849998,105.910004,102.102188,192499800
2016-03-22,105.250000,107.290001,104.889999,105.190002,101.408073,103692300
2016-03-29,104.889999,112.190002,104.879997,111.120003,107.124870,165909800
2016-04-05,109.510002,110.980003,108.120003,109.019997,105.100365,137773900
